tipo,fecha,hora,recinto,nombre,lat,lon,descripcion,link,patrocinado,patrocinado_url
CONCIERTOS,24/09/2025,20:00,LA RIVIERA,Happy Mondays + The Gulps,"40,4131550792513","-3,7213574704373",,TicketMaster,,
CONCIERTOS,24/10/2025,20:00,EL SOL,The 5.6.7.8's (JP),"40,4167000000000","-3,7036000000000",,MovingTickets,,
CONCIERTOS,24/10/2025,20:00,BUT,Kerala Dust,"40,4270811442368","-3,6998273772551",,TicketMaster,,
CONCIERTOS,24/11/2025,20:00,TEATRO MAGNO,Destroyer + Eleanor Friedberger,"40,4174952425061","-3,6977317183065",,TicketMaster,,
CONCIERTOS,25/09/2025,20:00,CHANGÓ,Buffalo Tom,"40,4320059670131","-3,6981755195844",,https://dice.fm,,
CONCIERTOS,25/09/2025,20:00,LA SALA - MOVISTAR ARENA,Rusowsky,"40,4243456184715","-3,6708119526812",,https://dice.fm,,
CONCIERTOS,25/09/2025,20:00,VILLANOS,Pumuky + Atención Tsunami + Animadora,"40,4041503300863","-3,6998350852109",,Notikumi,,
CONCIERTOS,25/09/2025,20:00,NAZCA,Handsome Jack,"40,4516271621369","-3,6937755606339",,https://dice.fm,,
CONCIERTOS,25/10/2025,20:00,EL NIDO,Leti y Los Utensilios + Superpuestas,"40,4363619750199","-3,6672376965851",Se paga la voluntad y todo el dinero va para los artistas,https://dice.fm,,
CONCIERTOS,25/10/2025,20:00,MON LIVE,Robert Finley,"40,4359491687017","-3,7165521825082",Leyenda del blues,https://dice.fm,,
CONCIERTOS,25/10/2025,20:00,COPÉRNICO,Ortiga,"40,4355811572583","-3,7136034056273",,Dice,,
CONCIERTOS,26/09/2025,20:00,COPÉRNICO,Un Pingüino En Mi Ascensor,"40,4355811572583","-3,7136034056273",,TicketFever,,
CONCIERTOS,26/10/2025,20:00,SIROCO,Chris Staples,"40,4271047202027","-3,7077208643914",,Dice,,
CONCIERTOS,26/11/2025,20:00,EL JUGLAR,Lael Neale,"40,4099435097822","-3,7015200471421",,Dice,,
CONCIERTOS,26/11/2025,20:00,CADAVRA CLUB,Emily Barker,"40,4195869408635","-3,7002719336473",,Dice,,
CONCIERTOS,26/11/2025,20:00,FUN HOUSE,Cassie Ramone,"40,4315210350644","-3,7008364851402",,TicketMaster,,
CONCIERTOS,26/11/2025,20:30,MOVISTAR ARENA,El Mató A Un Policía Motorizado,"40,4240794215652","-3,6716812023973",,entradas.baila.fm/baila/events/41592,,
